id_x,object_id,first_name,last_name,birthplace,affiliation_name,id_y,degree_type,subject,institution,graduated_at,created_at,updated_at,recategorized_degree_type,name,market,funding_total_usd,status,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,country,age,success_metric_updated,Industry,degree_category
13729,p:15927,Cory,Booker,Washington D.C.,#waywire,1365,Other,Political Science,Stanford University,1991-01-01,2008-08-02 01:11:19,2008-08-02 01:11:19,Others,#waywire,News,1750000.0,acquired,New York City,New York,1.0,2012-06-01,2012-06,2012-Q2,2012.0,2012-06-30,2012-06-30,1750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,2,Successful,Others,Other
96327,p:113501,Nikita,Bier,"Los Angeles, CA",1000memories,22939,BS,Business Administration,"University of California, Berkeley",2012-01-01,2012-10-09 04:56:24,2012-10-13 03:56:05,BS,1000memories,Curated Web,2535000.0,acquired,SF Bay Area,San Francisco,2.0,2010-07-01,2010-07,2010-Q3,2010.0,2010-01-01,2011-02-16,15000.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,4,Successful,Technology,Bachelors in STEM
120468,p:148671,Chris,Hogg,"Los Angeles, CA",100Plus,56815,Other,"Strategy, Entrepreneurship, Finance",The University of Chicago Booth School of Business,2003-01-01,2013-07-29 05:28:18,2013-07-29 05:28:18,Others,100Plus,Analytics,1250000.0,acquired,SF Bay Area,San Francisco,2.0,2011-09-16,2011-09,2011-Q3,2011.0,2011-11-02,2011-11-30,750000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,3,Successful,Technology,Other
67275,p:75007,Vanessa,Naylon,Illinois,140 Proof,10145,Other,,"University of California, Berkeley",,2010-11-17 01:09:59,2010-11-20 02:13:29,Others,140 Proof,Advertising,5500000.0,operating,SF Bay Area,San Francisco,2.0,2010-01-11,2010-01,2010-Q1,2010.0,2009-07-01,2011-04-28,0.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,4,Potentially Successful,Finance and Banking,Other
57889,p:64707,Shane,Doyle,VA,140 Proof,9871,Other,Fox School of Business and Management,Temple University,,2010-10-29 18:36:20,2010-10-30 02:13:33,Others,140 Proof,Advertising,5500000.0,operating,SF Bay Area,San Francisco,2.0,2010-01-11,2010-01,2010-Q1,2010.0,2009-07-01,2011-04-28,0.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,4,Potentially Successful,Finance and Banking,Other
45294,p:50630,Erik,Michaels-Ober,New York,140 Proof,6396,Other,,Carnegie Mellon University,2005-01-01,2010-03-19 07:29:09,2011-09-04 02:23:17,Others,140 Proof,Advertising,5500000.0,operating,SF Bay Area,San Francisco,2.0,2010-01-11,2010-01,2010-Q1,2010.0,2009-07-01,2011-04-28,0.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,4,Potentially Successful,Finance and Banking,Other
101851,p:120918,Sharon,Knight,"Milwaukee, Wisconsin",1Life Healthcare,17753,Other,Finance,"Northwestern University, Kellogg School of Management",1994-01-01,2011-12-29 22:33:55,2011-12-30 00:24:28,Others,1Life Healthcare,Health and Wellness,30000000.0,operating,SF Bay Area,San Francisco,1.0,2002-01-01,2002-01,2002-Q1,2002.0,2013-03-21,2013-03-21,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,0.0,United States,12,Successful,Healthcare,Other
130567,p:160989,Anthony,Davis,Seattle,2GO Mobile Solutions,27544,Other,Theology,Silver Lake All Nations Bible College,1998-01-01,2013-04-10 06:20:54,2013-04-10 06:20:54,Others,2GO Mobile Solutions,Software,275000.0,operating,Dallas,Plano,1.0,2008-01-01,2008-01,2008-Q1,2008.0,2010-04-09,2010-04-09,0.0,0.0,0.0,0.0,0.0,0.0,275000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,6,Successful,Technology,Other
5438,p:6492,Riley,Batchelor,Sydney,2threads,1691,BS,Marketing and International Business,ACU,1996-01-01,2008-09-24 20:49:11,2008-09-25 01:44:43,BS,2threads,Art,300000.0,operating,Sydney,Sydney,2.0,2004-05-01,2004-05,2004-Q2,2004.0,2007-08-01,2008-06-01,100000.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia,10,Successful,Others,Bachelors in STEM
93503,p:109580,Ellen,Cheng,China,36Kr,16140,Other,"International Relations, Economics",Peking University,2009-01-01,2011-09-14 06:50:31,2011-11-13 04:57:33,Others,36Kr,Social Media,1573976.0,operating,Beijing,Beijing,2.0,1999-01-01,1999-01,1999-Q1,1999.0,2011-04-01,2012-07-01,0.0,1573976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,China,15,Successful,Others,Other
15252,p:17619,Martin,Tantow,"Munich, Germany",3scale,1608,Other,"Computer Science, Strategic Management","Munich School of Management, LMU",2000-01-01,2008-09-05 08:50:47,2013-11-27 10:15:58,Others,3scale,Developer APIs,5000000.0,operating,Barcelona,Barcelona,2.0,2007-12-01,2007-12,2007-Q4,2007.0,2010-04-20,2013-04-24,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain,7,Successful,Technology,Other
57478,p:64260,Ian,Sobolev,"Moscow, Russia",500px,8077,BS,Business of Commerce,Ryerson University,2007-01-01,2010-07-26 22:23:12,2010-07-27 00:27:07,BS,500px,Photography,9325000.0,operating,Toronto,Toronto,2.0,2009-10-01,2009-10,2009-Q4,2009.0,2011-06-03,2013-08-07,525000.0,8800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,5,Potentially Successful,Others,Bachelors in STEM
104185,p:124322,Andrey,Tochilin,"Minsk, Belarus",500px,18184,BS,Economics and Mathematics,Belarus State Economic University,2001-01-01,2012-02-01 22:20:14,2012-02-02 18:54:36,BS,500px,Photography,9325000.0,operating,Toronto,Toronto,2.0,2009-10-01,2009-10,2009-Q4,2009.0,2011-06-03,2013-08-07,525000.0,8800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,5,Potentially Successful,Others,Bachelors in STEM
64675,p:72128,Zach,Allia,"Gloucester, MA",64 Pixels,18677,Other,Business,Northeastern University,2007-01-01,2012-03-11 17:36:10,2012-03-13 05:19:58,Others,64 Pixels,Curated Web,100000.0,operating,SF Bay Area,Mountain View,1.0,2010-10-01,2010-10,2010-Q4,2010.0,2010-10-01,2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,4,Potentially Successful,Technology,Other
92336,p:107837,Isaac,Wolkerstorfer,"Berlin, Germany",6Wunderkinder,15940,Other,Computer Science,University of Chicago,2005-01-01,2011-08-31 16:05:10,2011-09-20 00:00:52,Others,6Wunderkinder,Software,23857750.0,operating,Berlin,Berlin,5.0,2010-09-01,2010-09,2010-Q3,2010.0,2010-12-21,2013-11-12,0.0,23857750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200000.0,19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,Germany,4,Potentially Successful,Technology,Other
148133,p:181698,Sebastian,Rumberg,"Dresden, Germany",6Wunderkinder,27467,Other,Media and Communications,Universität Leipzig,2011-01-01,2013-04-09 10:14:04,2013-04-09 14:14:46,Others,6Wunderkinder,Software,23857750.0,operating,Berlin,Berlin,5.0,2010-09-01,2010-09,2010-Q3,2010.0,2010-12-21,2013-11-12,0.0,23857750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200000.0,19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,Germany,4,Potentially Successful,Technology,Other
108675,p:131699,Yogesh,Chaudhari,India,ABB,18982,MS,Computer Engineering,Virginia Tech,,2012-03-27 15:28:53,2012-03-28 00:10:58,MS,ABB,Technology,2700000.0,operating,Zurich,Zürich,1.0,1988-01-01,1988-01,1988-Q1,1988.0,2013-09-23,2013-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland,26,Successful,Technology,Masters in STEM
124669,p:153781,Jacin,Davis,Seattle,ACTIVE Network,22321,Other,Business - Operations and Managemnet,Washington State Universtiy,2007-01-01,2012-08-29 21:08:29,2012-09-04 13:27:55,Others,ACTIVE Network,Software,214208700.0,acquired,Dallas,Dallas,10.0,1999-08-01,1999-08,1999-Q3,1999.0,1999-09-01,2009-12-11,0.0,66208700.0,0.0,0.0,0.0,3000000.0,0.0,0.0,145000000.0,0.0,0.0,0.0,0.0,200000.0,15500000.0,19000000.0,11200000.0,20000000.0,0.0,0.0,0.0,United States,15,Successful,Technology,Other
51695,p:57576,John,Laramie,Washington D.C.,ADstruc,6915,Other,Marketing,Loyola University Maryland,2006-01-01,2010-04-30 16:07:21,2010-05-03 18:03:04,Others,ADstruc,Outdoor Advertising,3118000.0,operating,New York City,New York,4.0,2010-07-15,2010-07,2010-Q3,2010.0,2010-08-05,2014-03-10,1118000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,4,Potentially Successful,Others,Other
